"Step","SAbDab_Chen + DGL_GCN - MSE","SAbDab_Chen + DGL_GCN - MSE__MIN","SAbDab_Chen + DGL_GCN - MSE__MAX","SAbDab_Chen + Transformer - MSE","SAbDab_Chen + Transformer - MSE__MIN","SAbDab_Chen + Transformer - MSE__MAX","SAbDab_Chen + CNN_RNN - MSE","SAbDab_Chen + CNN_RNN - MSE__MIN","SAbDab_Chen + CNN_RNN - MSE__MAX","SAbDab_Chen + CNN - MSE","SAbDab_Chen + CNN - MSE__MIN","SAbDab_Chen + CNN - MSE__MAX"
"139","0.20101132502001978","0.1670914363759855","0.2349312136640541","0.1331263930193361","0.13248641637583092","0.13376636966284125","0.12013409628689536","0.11610760720011976","0.12416058537367097","0.094868626280503","0.09360130964946742","0.09613594291153855"
"141","0.19228469821431637","0.17002235003534788","0.21454704639328487","0.13160876537122296","0.1314642807046774","0.13175325003776855","0.11523039241370002","0.11310184438989644","0.1173589404375036","0.09602382471600548","0.0954807603021585","0.09656688912985248"
"143","0.1939555838840869","0.19092962987812528","0.19698153789004855","0.13420648735579327","0.13312916550820972","0.1352838092033768","0.11694682909772791","0.10933969199023885","0.12455396620521698","0.09551860419141843","0.09481705218329427","0.09622015619954259"
"145","0.19684553799211243","0.17017953981839515","0.22351153616582972","0.13085367990843516","0.1297774169620272","0.13192994285484314","0.11722041721353077","0.10920552543039881","0.12523530899666271","0.0946740547909399","0.09205567045810242","0.09729243912377739"
"147","0.19524449141883293","0.1783914919197208","0.21209749091794503","0.1363137996977248","0.1341356340572436","0.138491965338206","0.10839664470999952","0.10730621189086612","0.10948707752913293","0.09510383766067354","0.09345978110239353","0.09674789421895354"
"149","0.2181245164483051","0.19588214852758007","0.24036688436903011","0.13436278695448786","0.13364685998243725","0.13507871392653847","0.11304868561033757","0.10882022075655816","0.11727715046411696","0.09424089717087915","0.09406089612870851","0.09442089821304979"
"151","0.19467869510097918","0.184862234864882","0.20449515533707635","0.1339505191304221","0.12943557448999835","0.13846546377084587","0.11749403781062376","0.11112279491952355","0.12386528070172398","0.09499459336809213","0.09476832717886645","0.0952208595573178"
"153","0.20057656687177403","0.18769438303565078","0.21345875070789727","0.1312601972418707","0.12904454705337487","0.13347584743036656","0.11771831420678229","0.1079010592770066","0.12753556913655797","0.09617797126933647","0.0924908027567182","0.09986513978195474"
"155","0.18914139348910503","0.18483257455124893","0.19345021242696114","0.13144300486741073","0.1294762173027606","0.1334097924320609","0.11567666932174274","0.11433110298777882","0.11702223565570666","0.09589807088431275","0.09589377430447515","0.09590236746415035"
"157","0.2224814519274435","0.19143069255141218","0.2535322113034748","0.13268662174198087","0.12993290184700468","0.13544034163695703","0.11286499905062654","0.1121627474927521","0.11356725060850098","0.09486552840951216","0.09436713666047299","0.09536392015855134"
"159","0.20649866228695873","0.20173313865322948","0.21126418592068796","0.13426032592968246","0.13191426924233465","0.13660638261703023","0.11195109939445366","0.10950175274114822","0.1144004460477591","0.09612554576178409","0.09485805866857323","0.09739303285499494"
"161","0.19186716598420478","0.18497043933906956","0.19876389262934002","0.13046129192456418","0.12665880937435298","0.13426377447477542","0.11714436516563356","0.10844410438892439","0.12584462594234275","0.0938062872586049","0.09312679281400398","0.09448578170320582"
"163","0.20663023657842827","0.16786548957559497","0.24539498358126155","0.13479694041600387","0.13226364153205572","0.137330239299952","0.10943703122341676","0.10732503848463461","0.11154902396219891","0.09499094911614131","0.09376355317750217","0.09621834505478044"
"165","0.19539301783987487","0.16500487204416037","0.22578116363558937","0.13759890157859966","0.1356952413995351","0.1395025617576642","0.11704568849896055","0.11394704524179522","0.12014433175612588","0.0952679412444784","0.09434581625813045","0.09619006623082636"
"167","0.17540690686937005","0.1630792818957615","0.18773453184297856","0.13302981255985846","0.12976190377384225","0.13629772134587465","0.10754114599282083","0.10400228982133553","0.11108000216430614","0.09263395422463294","0.09184718938027764","0.09342071906898826"
"169","0.19797348644454066","0.17977905603498215","0.21616791685409917","0.1339879878770004","0.13091060493615436","0.13706537081784645","0.10963097377493189","0.10879856988983452","0.11046337766002924","0.09331133037716155","0.09292938188241762","0.09369327887190548"
"171","0.2226034734270021","0.1777502656717664","0.2674566811822378","0.13469260457203042","0.1344306082578608","0.13495460088620004","0.1135020888258469","0.11148232817948152","0.11552184947221229","0.09368223760667588","0.0931382524552614","0.09422622275809034"
"173","0.18653098935104712","0.1677907033492284","0.2052712753528658","0.14094233161059777","0.13562969407309192","0.1462549691481036","0.11273422229636251","0.11220518070736156","0.11326326388536345","0.09401297663386113","0.0931420985753687","0.09488385469235355"
"175","0.20248212421835932","0.19978219074536538","0.20518205769135328","0.13752571565634641","0.1341444960377296","0.14090693527496326","0.11583088393195348","0.11137359453622694","0.12028817332768","0.09677891897951296","0.09626883212983407","0.09728900582919187"
"177","0.18942356605217406","0.1653387710145121","0.213508361089836","0.14305749610844604","0.1390154083450854","0.1470995838718067","0.11317572189817693","0.11219567189309074","0.11415577190326313","0.09416009605081059","0.09339522484234614","0.09492496725927504"
"179","0.18523874773765148","0.1760639110944128","0.19441358438089015","0.13508714664363466","0.13319027039066042","0.1369840228966089","0.1121167642016177","0.10855265450259155","0.11568087390064384","0.0941711164187614","0.0927523012629173","0.0955899315746055"
"181","0.19795340033833542","0.17864927739176653","0.2172575232849043","0.1308563827771965","0.12938435869507936","0.13232840685931363","0.11093138982751016","0.10735446011305974","0.11450831954196057","0.09392780604191603","0.09352290817173832","0.09433270391209374"
"183","0.2013669684080418","0.1687919308056369","0.23394200601044673","0.13182786743790784","0.1304836936357559","0.13317204124005977","0.11266154383144175","0.11258472991469878","0.11273835774818473","0.09610762834547268","0.09438674448551869","0.09782851220542667"
"185","0.22186805797946696","0.16825678721390644","0.27547932874502745","0.13365163915998324","0.13078782292806485","0.1365154553919016","0.11306498376523527","0.10938757834429942","0.11674238918617111","0.09368411272017117","0.09229299702047578","0.09507522841986657"
"187","0.1917867204987515","0.18757672152110388","0.19599671947639916","0.13126852955524926","0.13000069869488104","0.13253636041561748","0.11548561042943253","0.11059298282594691","0.12037823803291814","0.09364915140414005","0.09179910505460978","0.09549919775367033"
"189","0.20651990351242594","0.1689543992356206","0.24408540778923124","0.136681832734159","0.13340432524839307","0.1399593402199249","0.1175581352981552","0.11493852434064715","0.12017774625566326","0.09228505932629011","0.09191841248874395","0.09265170616383626"
"191","0.20323704838263365","0.17322035789307888","0.23325373887218842","0.13584677185915223","0.1358164816647743","0.13587706205353012","0.11559678495341258","0.11315090734492879","0.11804266256189636","0.09457183726881752","0.09192739056080801","0.09721628397682704"
"193","0.2046003859558316","0.1868085287389414","0.2223922431727218","0.1310203994374437","0.13027158878890316","0.13176921008598425","0.11476668806500157","0.10926414583664257","0.12026923029336055","0.09420006028721925","0.093331931158464","0.09506818941597449"
"195","0.20094692881749432","0.1819896020541582","0.21990425558083043","0.13143459433947582","0.12816016234120692","0.13470902633774473","0.11292395339195478","0.10683942011426151","0.11900848666964806","0.09453373658565298","0.09366161527038837","0.0954058579009176"
"197","0.1856496684433718","0.17476806974705505","0.19653126713968855","0.1398292487681846","0.1353974528616699","0.1442610446746993","0.11564543538837516","0.11558148611352353","0.11570938466322676","0.09396134944945506","0.09349776401654596","0.09442493488236417"
"199","0.20809542441946027","0.16878271005517206","0.24740813878374845","0.1342472310768204","0.1324261748358491","0.13606828731779172","0.11321056767015264","0.10939126936239318","0.1170298659779121","0.09715462844747932","0.0970822655103013","0.09722699138465735"
