"Step","CRISPR + DGL_GCN - training loss","CRISPR + DGL_GCN - training loss__MIN","CRISPR + DGL_GCN - training loss__MAX","CRISPR + Transformer - training loss","CRISPR + Transformer - training loss__MIN","CRISPR + Transformer - training loss__MAX","CRISPR + CNN_RNN - training loss","CRISPR + CNN_RNN - training loss__MIN","CRISPR + CNN_RNN - training loss__MAX","CRISPR + CNN - training loss","CRISPR + CNN - training loss__MIN","CRISPR + CNN - training loss__MAX"
"108","0.010059244930744171","0.00873479712754488","0.011383692733943462","0.005618166527710855","0.003422152018174529","0.007814181037247181","0.0078009385615587234","0.0038334475830197334","0.011768429540097713","0.0002737623290158808","0.00024231203133240342","0.0003052126266993582"
"110","0.014271356631070375","0.013128411024808884","0.015414302237331867","0.00912232045084238","0.00461825355887413","0.01362638734281063","0.008695232449099422","0.00635555712506175","0.011034907773137093","0.00011912409900105558","0.00009048169158631936","0.0001477665064157918"
"112","0.00803563673980534","0.004073950927704573","0.011997322551906109","0.004610190750099719","0.003479956416413188","0.005740425083786249","0.011016489937901497","0.01021963357925415","0.011813346296548843","0.0001551038003526628","0.00014824762183707207","0.00016195997886825353"
"114","0.021940667182207108","0.02014719881117344","0.023734135553240776","0.00942334532737732","0.0035326266661286354","0.015314063988626003","0.003975801286287606","0.0036038809921592474","0.004347721580415964","0.0002910220646299422","0.00024995379499159753","0.0003320903342682868"
"116","0.011040648445487022","0.008550177328288555","0.01353111956268549","0.008512189146131277","0.006058661267161369","0.010965717025101185","0.0038889707648195326","0.0011445671552792192","0.006633374374359846","0.0002016620637732558","0.0001402976777171716","0.00026302644982934"
"118","0.026328492909669876","0.019122112542390823","0.03353487327694893","0.00456620822660625","0.004098493605852127","0.0050339228473603725","0.007127806777134538","0.006441188510507345","0.00781442504376173","0.00028073660359950736","0.00021806250151712447","0.00034341070568189025"
"120","0.012181949336081743","0.01182572077959776","0.012538177892565727","0.004030753625556827","0.0032195127569139004","0.004841994494199753","0.0040737835224717855","0.0012480434961616993","0.006899523548781872","0.00018218443801742978","0.0001187964589917101","0.00024557241704314947"
"122","0.021412371192127466","0.013912505470216274","0.028912236914038658","0.005543823470361531","0.003042184980586171","0.00804546196013689","0.004514144733548164","0.0031468188390135765","0.005881470628082752","0.0001806370055419393","0.000139645257149823","0.00022162875393405557"
"124","0.020456665195524693","0.01596251130104065","0.024950819090008736","0.008436904521659017","0.004290437791496515","0.012583371251821518","0.008369502145797014","0.008099068887531757","0.008639935404062271","0.00016878655878826976","0.00013031721755396575","0.00020725590002257377"
"126","0.022275482304394245","0.020214881747961044","0.024336082860827446","0.00316443108022213","0.002551573794335127","0.0037772883661091328","0.0048374750185757875","0.0035813087597489357","0.006093641277402639","0.00016042225252022035","0.000078719160228502","0.0002421253448119387"
"128","0.022521398030221462","0.01564808562397957","0.029394710436463356","0.003897381597198546","0.0032025438267737627","0.004592219367623329","0.005663126125000417","0.0030568938236683607","0.008269358426332474","0.0003012469023815356","0.00008755571616347879","0.0005149380885995924"
"130","0.009801128879189491","0.008741375990211964","0.010860881768167019","0.0027209343388676643","0.0013436898589134216","0.004098178818821907","0.014010053593665361","0.009670413099229336","0.018349694088101387","0.00017335345910396427","0.00015846098540350795","0.0001882459328044206"
"132","0.0156728345900774","0.009295118972659111","0.02205055020749569","0.004371472343336791","0.0017743472708389163","0.006968597415834665","0.007990043144673109","0.0034913644194602966","0.012488721869885921","0.0003098619054071605","0.00029661107691936195","0.0003231127338949591"
"134","0.016290534287691116","0.007906686514616013","0.02467438206076622","0.0020947677548974752","0.0019246377050876617","0.0022648978047072887","0.004391191527247429","0.002495934721082449","0.006286448333412409","0.00020106885494897142","0.00018464421737007797","0.00021749349252786487"
"136","0.015609971713274717","0.010814030654728413","0.020405912771821022","0.0044449681881815195","0.00397771131247282","0.004912225063890219","0.0038778132875449955","0.0016925000818446279","0.006063126493245363","0.0001133192636189051","0.00008815266482997686","0.00013848586240783334"
"138","0.02729515451937914","0.019382761791348457","0.03520754724740982","0.006839736830443144","0.00544700026512146","0.008232473395764828","0.009952951688319445","0.0038831541314721107","0.01602274924516678","0.0001334786538791377","0.00005687941302312538","0.00021007789473515004"
"140","0.03072326583787799","0.010929676704108715","0.05051685497164726","0.0027476658578962088","0.0013284850865602493","0.004166846629232168","0.008760306751355529","0.004482055548578501","0.013038557954132557","0.00018856083443097305","0.000052395040256669745","0.00032472662860527635"
