"Step","PPI_Affinity + DGL_GAT - R2","PPI_Affinity + DGL_GAT - R2__MIN","PPI_Affinity + DGL_GAT - R2__MAX","PPI_Affinity + CNN_RNN - R2","PPI_Affinity + CNN_RNN - R2__MIN","PPI_Affinity + CNN_RNN - R2__MAX","PPI_Affinity + Transformer - R2","PPI_Affinity + Transformer - R2__MIN","PPI_Affinity + Transformer - R2__MAX","PPI_Affinity + CNN - R2","PPI_Affinity + CNN - R2__MIN","PPI_Affinity + CNN - R2__MAX"
"127","0.31779304564696775","0.3082884459919819","0.32729764530195354","0.6471497428703779","0.6417763199593867","0.6525231657813689","0.5804579571232731","0.5785711298286346","0.5823447844179116","0.5432772523354401","0.5365656065388918","0.5499888981319883"
"129","0.3168536381033824","0.31422433951540935","0.3194829366913554","0.6472427400037275","0.6412458597197352","0.6532396202877199","0.5788634344294146","0.5744014151125841","0.5833254537462449","0.5475489217344132","0.5420002169481348","0.5530976265206916"
"131","0.31643451128061795","0.2941967641570957","0.33867225840414017","0.6251799159787165","0.6133783896602798","0.6369814422971531","0.5814105514656929","0.5807894560662624","0.5820316468651233","0.5484172856610242","0.5451302601055876","0.5517043112164608"
"133","0.3326290747833296","0.29515711659540056","0.3701010329712586","0.6484934891131924","0.6270143912630168","0.6699725869633679","0.5825473077098624","0.5755883294722695","0.5895062859474554","0.5486956017824594","0.5438867367996674","0.5535044667652513"
"135","0.32822926261581903","0.31705243255166654","0.3394060926799715","0.6473934609147558","0.6376458261564326","0.6571410956730789","0.5809862800297421","0.574749817283371","0.587222742776113","0.5565813899583412","0.5503911875958353","0.5627715923208471"
"137","0.32667934358811607","0.28923681447697935","0.3641218726992528","0.6441882376489453","0.6398899981968709","0.6484864771010197","0.5869377336274653","0.579436758338055","0.5944387089168757","0.5584500132565348","0.5584482613796622","0.5584517651334073"
"139","0.33966521599048843","0.31447484537688675","0.3648555866040901","0.6381510259448127","0.6376848752104739","0.6386171766791515","0.5869695485751686","0.578191680636394","0.5957474165139431","0.5583730442400363","0.555266033365808","0.5614800551142646"
"141","0.3372715474122906","0.30663238675991855","0.36791070806466264","0.6479190224754923","0.6334317193133192","0.6624063256376653","0.5870804873730593","0.5820937520229009","0.5920672227232178","0.5570285707667182","0.5526401113676616","0.5614170301657747"
"143","0.3612390976015206","0.3095905132867949","0.41288768191624636","0.6522060605591217","0.6463805115244884","0.658031609593755","0.5841347833577057","0.577743328995866","0.5905262377195455","0.5632409644570728","0.5571592063545769","0.5693227225595688"
"145","0.35074408610204416","0.3268791757431193","0.374608996460969","0.6681047359630986","0.6589819874754541","0.6772274844507431","0.5940456661938283","0.5886011769506245","0.5994901554370319","0.5659619033319012","0.5610587522043582","0.5708650544594442"
"147","0.36712263776130916","0.35454349678596875","0.3797017787366496","0.6553824020439551","0.642995693701122","0.6677691103867882","0.5982065647298959","0.5960800676313971","0.6003330618283946","0.5684735809660648","0.5619845638427831","0.5749625980893466"
"149","0.387965424502189","0.34711464815558546","0.4288162008487926","0.6320958031059092","0.6042246291645906","0.6599669770472276","0.597218084114737","0.5962803917194852","0.5981557765099886","0.5750891074968911","0.5700560351577328","0.5801221798360494"
"151","0.39259921815195","0.35029518640105317","0.4349032499028468","0.650333624521594","0.6420529412866096","0.6586143077565784","0.5944202154388862","0.5910146195726615","0.5978258113051108","0.5780548195319506","0.5695255196721103","0.5865841193917909"
"153","0.3907281940032202","0.3864812998930396","0.39497508811340076","0.6402999970713957","0.6346273273609688","0.6459726667818226","0.5897938729774372","0.5844441577624178","0.5951435881924566","0.5779742278301","0.5696156518293591","0.5863328038308409"
"155","0.4070688193797771","0.3754049583369005","0.4387326804226538","0.656545806554056","0.655803556038408","0.6572880570697041","0.5925025393626846","0.5840246251629375","0.6009804535624317","0.5781049457363623","0.5701283516962165","0.586081539776508"
"157","0.4031394303856318","0.37755431185033866","0.428724548920925","0.6515074727503228","0.6446132452960369","0.6584017002046088","0.5947994225351035","0.5889301321478881","0.6006687129223189","0.5856467787663603","0.572347702148291","0.5989458553844296"
"159","0.39680554968745585","0.366893271265717","0.4267178281091947","0.6561739646784178","0.648922464412999","0.6634254649438367","0.5991936930912591","0.5920744250291169","0.6063129611534015","0.5846974916568298","0.5716488787062766","0.5977461046073831"
"161","0.4237947273695527","0.3849628773870186","0.4626265773520868","0.6496184295396342","0.6391633948634273","0.6600734642158411","0.5955266357218785","0.58995141747901","0.601101853964747","0.5943990974970317","0.5848894659106693","0.603908729083394"
"163","0.4519895254797065","0.4278505798457423","0.47612847111367074","0.6619621668245607","0.6515768315437023","0.672347502105419","0.5980992389717735","0.5927827037102384","0.6034157742333086","0.5863201486965658","0.5768647908683202","0.5957755065248114"
"165","0.4231305073354048","0.41499764700186365","0.4312633676689459","0.669510226208607","0.6625478325892988","0.6764726198279152","0.5993428523478056","0.593900544151885","0.6047851605437262","0.5903973898844191","0.5814239422994096","0.5993708374694287"
"167","0.44492853683742173","0.43609371778014716","0.4537633558946963","0.6434981573161818","0.6222885184605329","0.6647077961718307","0.5958192727453133","0.5904985704182351","0.6011399750723916","0.5929937975572654","0.5824987435503775","0.6034888515641534"
"169","0.4437801770023064","0.4373078841131455","0.4502524698914673","0.6681232161826854","0.6560794455497958","0.6801669868155751","0.5991035049087472","0.5950679213012748","0.6031390885162196","0.6018416403698477","0.5926065492468249","0.6110767314928705"
"171","0.4352943688853965","0.3992346455510593","0.4713540922197337","0.6658084438174933","0.6568527584470776","0.674764129187909","0.6026559373205774","0.5996021185925804","0.6057097560485745","0.5934609869573811","0.580964251717286","0.6059577221974762"
"173","0.4477104718398366","0.43848440207074924","0.45693654160892394","0.6759076668479647","0.6726197291249738","0.6791956045709555","0.600760970359871","0.5945399970391051","0.6069819436806368","0.6060752767513738","0.59894073786218","0.6132098156405676"
"175","0.4521747881262306","0.4513819548637653","0.4529676213886958","0.6643085531552703","0.6634176110994245","0.665199495211116","0.6049645625535041","0.6025390451634012","0.6073900799436069","0.6017495355223934","0.5949907369299126","0.6085083341148743"
"177","0.4625715354656167","0.4412038985265906","0.48393917240464274","0.6608401277134923","0.6519118334238418","0.6697684220031429","0.6051913340325002","0.60387656270579","0.6065061053592105","0.6025855459332394","0.5905065937398108","0.6146644981266681"
